test,os,id, time
cpu,lin,1,1195.72
cpu,lin,2,1192.64
cpu,lin,3,1169.32
cpu,lin,4,1193.36
cpu,lin,5,1159.20
cpu,lin,6,1185.32
cpu,lin,7,1200.91
cpu,lin,8,1171.45
cpu,lin,9,1187.58
cpu,lin,10,1187.49
cpu,lin,11,1160.51
cpu,lin,12,1189.22
cpu,lin,13,1190.09
cpu,lin,14,1158.15
cpu,lin,15,1190.12
cpu,lin,16,1198.06
cpu,lin,17,1159.34
cpu,lin,18,1188.63
cpu,lin,19,1161.77
cpu,lin,20,1166.95
cpu,lin,21,1186.50
cpu,lin,22,1193.59
cpu,lin,23,1163.92
cpu,lin,24,1181.03
cpu,lin,25,1188.62
cpu,lin,26,1157.31
cpu,lin,27,1182.24
cpu,lin,28,1191.30
cpu,lin,29,1156.67
cpu,lin,30,1187.51
cpu,win,1,2450.52
cpu,win,2,2467.59
cpu,win,3,2440.13
cpu,win,4,2455.03
cpu,win,5,2458.15
cpu,win,6,2435.10
cpu,win,7,2435.65
cpu,win,8,2444.95
cpu,win,9,2443.84
cpu,win,10,2436.36
cpu,win,11,2441.88
cpu,win,12,2443.08
cpu,win,13,2441.82
cpu,win,14,2445.91
cpu,win,15,2456.93
cpu,win,16,2443.27
cpu,win,17,2445.43
cpu,win,18,2439.85
cpu,win,19,2444.14
cpu,win,20,2448.14
cpu,win,21,2437.52
cpu,win,22,2441.49
cpu,win,23,2436.67
cpu,win,24,2440.12
cpu,win,25,2446.33
cpu,win,26,2458.35
cpu,win,27,2449.25
cpu,win,28,2449.42
cpu,win,29,2447.77
cpu,win,30,2457.14
