test,os,id, time
cpu,lin,1,1149.48
cpu,lin,2,1161.48
cpu,lin,3,1171.59
cpu,lin,4,1170.00
cpu,lin,5,1143.49
cpu,lin,6,1161.80
cpu,lin,7,1168.71
cpu,lin,8,1137.64
cpu,lin,9,1157.50
cpu,lin,10,1168.56
cpu,lin,11,1138.86
cpu,lin,12,1159.25
cpu,lin,13,1169.47
cpu,lin,14,1175.36
cpu,lin,15,1174.04
cpu,lin,16,1172.12
cpu,lin,17,1161.89
cpu,lin,18,1170.32
cpu,lin,19,1139.02
cpu,lin,20,1161.91
cpu,lin,21,1169.76
cpu,lin,22,1140.60
cpu,lin,23,1153.36
cpu,lin,24,1171.77
cpu,lin,25,1155.71
cpu,lin,26,1152.83
cpu,lin,27,1170.21
cpu,lin,28,1136.22
cpu,lin,29,1155.79
cpu,lin,30,1172.77
cpu,win,1,1304.85
cpu,win,2,1304.35
cpu,win,3,1303.23
cpu,win,4,1299.13
cpu,win,5,1302.94
cpu,win,6,1300.88
cpu,win,7,1301.11
cpu,win,8,1304.58
cpu,win,9,1304.16
cpu,win,10,1303.62
cpu,win,11,1302.25
cpu,win,12,1302.86
cpu,win,13,1301.50
cpu,win,14,1303.72
cpu,win,15,1300.23
cpu,win,16,1301.48
cpu,win,17,1300.29
cpu,win,18,1300.47
cpu,win,19,1303.21
cpu,win,20,1301.98
cpu,win,21,1302.47
cpu,win,22,1302.17
cpu,win,23,1301.50
cpu,win,24,1300.27
cpu,win,25,1303.39
cpu,win,26,1298.68
cpu,win,27,1301.61
cpu,win,28,1303.47
cpu,win,29,1302.78
cpu,win,30,1302.91
