test,os,id,time
cpu,lin,1,1139.23
cpu,lin,2,1147.40
cpu,lin,3,1151.17
cpu,lin,4,1145.52
cpu,lin,5,1147.50
cpu,lin,6,1155.24
cpu,lin,7,1150.91
cpu,lin,8,1156.98
cpu,lin,9,1156.13
cpu,lin,10,1159.42
cpu,lin,11,1148.17
cpu,lin,12,1148.38
cpu,lin,13,1157.81
cpu,lin,14,1147.87
cpu,lin,15,1153.15
cpu,lin,16,1146.17
cpu,lin,17,1151.49
cpu,lin,18,1149.76
cpu,lin,19,1152.70
cpu,lin,20,1150.73
cpu,lin,21,1153.69
cpu,lin,22,1148.31
cpu,lin,23,1154.69
cpu,lin,24,1150.36
cpu,lin,25,1152.57
cpu,lin,26,1154.86
cpu,lin,27,1156.47
cpu,lin,28,1150.47
cpu,lin,29,1152.09
cpu,lin,30,1147.33
cpu,win,1,3266.61
cpu,win,2,2442.16
cpu,win,3,2459.46
cpu,win,4,2461.67
cpu,win,5,2453.20
cpu,win,6,2442.15
cpu,win,7,2449.80
cpu,win,8,2438.64
cpu,win,9,2453.96
cpu,win,10,2453.57
cpu,win,11,2450.94
cpu,win,12,2449.96
cpu,win,13,2451.56
cpu,win,14,2445.45
cpu,win,15,2458.61
cpu,win,16,2451.14
cpu,win,17,2448.58
cpu,win,18,2456.24
cpu,win,19,2452.62
cpu,win,20,2458.57
cpu,win,21,2447.53
cpu,win,22,2467.91
cpu,win,23,2442.10
cpu,win,24,2451.56
cpu,win,25,2448.40
cpu,win,26,2446.61
cpu,win,27,2471.41
cpu,win,28,2458.10
cpu,win,29,2463.58
cpu,win,30,2450.18
