test,os,id, time
mem,lin,1,  16.74 
mem,lin,2,  16.86 
mem,lin,3,  16.90 
mem,lin,4,  16.91 
mem,lin,5,  16.91 
mem,lin,6,  17.07 
mem,lin,7,  16.99 
mem,lin,8,  17.19 
mem,lin,9,  17.25 
mem,lin,10,  17.24 
mem,lin,11,  17.30 
mem,lin,12,  17.32 
mem,lin,13,  17.49 
mem,lin,14,  17.60 
mem,lin,15,  17.66 
mem,lin,16,  17.57 
mem,lin,17,  17.40 
mem,lin,18,  17.30 
mem,lin,19,  17.28 
mem,lin,20,  17.29 
mem,lin,21,  17.40 
mem,lin,22,  17.45 
mem,lin,23,  17.41 
mem,lin,24,  17.32 
mem,lin,25,  17.50 
mem,lin,26,  17.43 
mem,lin,27,  17.09 
mem,lin,28,  17.30 
mem,lin,29,  18.03 
mem,lin,30,  17.56 
mem,win,1,  368.69 
mem,win,2,  362.23 
mem,win,3,  344.03 
mem,win,4,  369.87 
mem,win,5,  370.57 
mem,win,6,  380.25 
mem,win,7,  378.56 
mem,win,8,  373.11 
mem,win,9,  380.58 
mem,win,10,  343.56 
mem,win,11,  370.57 
mem,win,12,  374.60 
mem,win,13,  376.13 
mem,win,14,  379.44 
mem,win,15,  375.36 
mem,win,16,  373.70 
mem,win,17,  376.08 
mem,win,18,  378.18 
mem,win,19,  364.46 
mem,win,20,  373.99 
mem,win,21,  363.02 
mem,win,22,  377.43 
mem,win,23,  375.54 
mem,win,24,  372.59 
mem,win,25,  374.98 
mem,win,26,  379.34 
mem,win,27,  369.86 
mem,win,28,  374.38 
mem,win,29,  336.97 
mem,win,30,  365.81 
