test,os,id, time
mem,lin,1,  29.6 
mem,lin,2,  28.6 
mem,lin,3,  29.0 
mem,lin,4,  28.8 
mem,lin,5,  28.9 
mem,lin,6,  29.0 
mem,lin,7,  28.9 
mem,lin,8,  28.4 
mem,lin,9,  28.9 
mem,lin,10,  28.8 
mem,lin,11,  28.8 
mem,lin,12,  28.9 
mem,lin,13,  27.9 
mem,lin,14,  28.6 
mem,lin,15,  29.0 
mem,lin,16,  29.4 
mem,lin,17,  29.3 
mem,lin,18,  29.0 
mem,lin,19,  28.7 
mem,lin,20,  29.0 
mem,lin,21,  29.2 
mem,lin,22,  29.1 
mem,lin,23,  28.5 
mem,lin,24,  29.2 
mem,lin,25,  29.1 
mem,lin,26,  28.8 
mem,lin,27,  29.0 
mem,lin,28,  29.0 
mem,lin,29,  29.5 
mem,lin,30,  29.1 
mem,win,1,  284.4 
mem,win,2,  277.4 
mem,win,3,  280.6 
mem,win,4,  276.7 
mem,win,5,  276.6 
mem,win,6,  282.9 
mem,win,7,  280.2 
mem,win,8,  279.0 
mem,win,9,  280.7 
mem,win,10,  280.4 
mem,win,11,  281.1 
mem,win,12,  275.3 
mem,win,13,  276.2 
mem,win,14,  277.8 
mem,win,15,  279.7 
mem,win,16,  281.7 
mem,win,17,  280.0 
mem,win,18,  280.8 
mem,win,19,  281.3 
mem,win,20,  274.1 
mem,win,21,  280.7 
mem,win,22,  278.6 
mem,win,23,  277.6 
mem,win,24,  284.1 
mem,win,25,  279.0 
mem,win,26,  281.7 
mem,win,27,  277.4 
mem,win,28,  279.6 
mem,win,29,  280.2 
mem,win,30,  279.5 
