test,os,id,time
mem,lin,1,19218.00
mem,lin,2,18198.00
mem,lin,3,17887.00
mem,lin,4,18514.00
mem,lin,5,44699.00
mem,lin,6,17935.00
mem,lin,7,18407.00
mem,lin,8,18259.00
mem,lin,9,17983.00
mem,lin,10,18315.00
mem,lin,11,18364.00
mem,lin,12,17978.00
mem,lin,13,18273.00
mem,lin,14,18198.00
mem,lin,15,18117.00
mem,lin,16,18529.00
mem,lin,17,18336.00
mem,lin,18,17814.00
mem,lin,19,18326.00
mem,lin,20,18354.00
mem,lin,21,17949.00
mem,lin,22,18407.00
mem,lin,23,18516.00
mem,lin,24,17974.00
mem,lin,25,18083.00
mem,lin,26,17828.00
mem,lin,27,18063.00
mem,lin,28,18004.00
mem,lin,29,17954.00
mem,lin,30,17779.00
mem,win,1,340941.00
mem,win,2,349132.00
mem,win,3,309745.00
mem,win,4,354418.00
mem,win,5,350637.00
mem,win,6,343984.00
mem,win,7,355651.00
mem,win,8,349565.00
mem,win,9,328063.00
mem,win,10,359341.00
mem,win,11,360042.00
mem,win,12,359355.00
mem,win,13,361185.00
mem,win,14,362796.00
mem,win,15,365227.00
mem,win,16,330505.00
mem,win,17,267966.00
mem,win,18,334641.00
mem,win,19,324125.00
mem,win,20,370723.00
mem,win,21,371357.00
mem,win,22,373356.00
mem,win,23,371417.00
mem,win,24,369724.00
mem,win,25,372.38
mem,win,26,371774.00
mem,win,27,372092.00
mem,win,28,372808.00
mem,win,29,373211.00
mem,win,30,375232.00
