test,os,id, time
srd,lin,1,2487.14
srd,lin,2,2551.80
srd,lin,3,2512.21
srd,lin,4,2512.61
srd,lin,5,2401.92
srd,lin,6,2499.92
srd,lin,7,2499.97
srd,lin,8,2500.18
srd,lin,9,2390.53
srd,lin,10,2512.92
srd,lin,11,2460.61
srd,lin,12,2512.59
srd,lin,13,2474.60
srd,lin,14,2474.80
srd,lin,15,2322.64
srd,lin,16,2512.66
srd,lin,17,2525.48
srd,lin,18,2512.58
srd,lin,19,2414.13
srd,lin,20,2499.82
srd,lin,21,2425.89
srd,lin,22,2538.56
srd,lin,23,2538.73
srd,lin,24,2390.41
srd,lin,25,2513.49
srd,lin,26,2414.02
srd,lin,27,2512.40
srd,lin,28,2390.44
srd,lin,29,2512.67
srd,lin,30,2379.11
srd,win,1,1346.57
srd,win,2,1322.05
srd,win,3,1336.12
srd,win,4,1270.00
srd,win,5,1383.31
srd,win,6,1081.60
srd,win,7,1089.43
srd,win,8,1280.95
srd,win,9,1240.73
srd,win,10,1174.35
srd,win,11,1111.38
srd,win,12,1112.27
srd,win,13,1148.31
srd,win,14,1092.96
srd,win,15,976.85
srd,win,16,1082.00
srd,win,17,1141.59
srd,win,18,1136.19
srd,win,19,1150.08
srd,win,20,1137.61
srd,win,21,1269.21
srd,win,22,1224.38
srd,win,23,1251.67
srd,win,24,1279.61
srd,win,25,1357.45
srd,win,26,1330.47
srd,win,27,1214.10
srd,win,28,1285.22
srd,win,29,1261.79
srd,win,30,1315.90
