test,os,id, time
srd,lin,1,2406.23
srd,lin,2,2499.21
srd,lin,3,2619.03
srd,lin,4,2486.93
srd,lin,5,2437.79
srd,lin,6,2499.56
srd,lin,7,2647.46
srd,lin,8,2512.09
srd,lin,9,2449.64
srd,lin,10,2512.51
srd,lin,11,2633.24
srd,lin,12,2591.64
srd,lin,13,2499.37
srd,lin,14,2578.11
srd,lin,15,2525.13
srd,lin,16,2499.54
srd,lin,17,2512.49
srd,lin,18,2577.92
srd,lin,19,2512.52
srd,lin,20,2619.54
srd,lin,21,2591.70
srd,lin,22,2499.84
srd,lin,23,2633.66
srd,lin,24,2497.60
srd,lin,25,2631.19
srd,lin,26,2461.78
srd,lin,27,2425.51
srd,lin,28,2487.01
srd,lin,29,2619.78
srd,lin,30,2512.43
srd,win,1,1690.10
srd,win,2,1592.00
srd,win,3,1680.95
srd,win,4,1677.88
srd,win,5,1684.68
srd,win,6,1674.26
srd,win,7,1681.73
srd,win,8,1718.04
srd,win,9,1720.40
srd,win,10,1711.37
srd,win,11,1713.00
srd,win,12,1714.31
srd,win,13,1711.48
srd,win,14,1717.70
srd,win,15,1714.33
srd,win,16,1723.59
srd,win,17,1722.84
srd,win,18,1713.47
srd,win,19,1714.90
srd,win,20,1717.34
srd,win,21,1721.98
srd,win,22,1734.41
srd,win,23,1720.56
srd,win,24,1692.63
srd,win,25,1722.77
srd,win,26,1721.92
srd,win,27,1726.38
srd,win,28,1721.05
srd,win,29,1720.25
srd,win,30,1719.26
