test,os,id,time
srd,lin,1,2525.51
srd,lin,2,2238.83
srd,lin,3,1939.59
srd,lin,4,2360.79
srd,lin,5,2198.52
srd,lin,6,2309.45
srd,lin,7,2393.91
srd,lin,8,2373.47
srd,lin,9,2402.51
srd,lin,10,2462.23
srd,lin,11,2184.77
srd,lin,12,2192.45
srd,lin,13,2425.68
srd,lin,14,2438.02
srd,lin,15,2356.71
srd,lin,16,2413.92
srd,lin,17,2474.85
srd,lin,18,2301.25
srd,lin,19,2371.31
srd,lin,20,2418.56
srd,lin,21,2474.61
srd,lin,22,2334.14
srd,lin,23,2344.92
srd,lin,24,2322.93
srd,lin,25,2462.71
srd,lin,26,2449.11
srd,lin,27,2487.15
srd,lin,28,2474.87
srd,lin,29,2367.75
srd,lin,30,2413.74
srd,win,1,1182.01
srd,win,2,1099.51
srd,win,3,1197.31
srd,win,4,1191.58
srd,win,5,1153.66
srd,win,6,1215.50
srd,win,7,1234.57
srd,win,8,1167.65
srd,win,9,1235.89
srd,win,10,1165.55
srd,win,11,1177.10
srd,win,12,1248.99
srd,win,13,1182.46
srd,win,14,1251.02
srd,win,15,1203.24
srd,win,16,1185.15
srd,win,17,1190.01
srd,win,18,1168.15
srd,win,19,1167.88
srd,win,20,1190.78
srd,win,21,1205.03
srd,win,22,1194.35
srd,win,23,1187.90
srd,win,24,1144.73
srd,win,25,1113.62
srd,win,26,1157.03
srd,win,27,1231.64
srd,win,28,1173.64
srd,win,29,1165.21
srd,win,30,1222.50
