test,os,id, time
swr,lin,1,  31.21 
swr,lin,2,  31.52 
swr,lin,3,  31.03 
swr,lin,4,  31.08 
swr,lin,5,  31.02 
swr,lin,6,  30.63 
swr,lin,7,  31.49 
swr,lin,8,  30.56 
swr,lin,9,  31.25 
swr,lin,10,  30.39 
swr,lin,11,  30.46 
swr,lin,12,  30.50 
swr,lin,13,  30.85 
swr,lin,14,  30.06 
swr,lin,15,  30.24 
swr,lin,16,  30.72 
swr,lin,17,  30.98 
swr,lin,18,  30.20 
swr,lin,19,  30.58 
swr,lin,20,  31.40 
swr,lin,21,  31.38 
swr,lin,22,  30.96 
swr,lin,23,  30.14 
swr,lin,24,  30.73 
swr,lin,25,  30.51 
swr,lin,26,  31.08 
swr,lin,27,  31.21 
swr,lin,28,  30.88 
swr,lin,29,  30.52 
swr,lin,30,  30.78 
swr,win,1,  104.39 
swr,win,2,  124.11 
swr,win,3,  130.74 
swr,win,4,  120.22 
swr,win,5,  104.34 
swr,win,6,  123.50 
swr,win,7,  112.96 
swr,win,8,  117.26 
swr,win,9,  102.84 
swr,win,10,  130.98 
swr,win,11,  115.73 
swr,win,12,  116.48 
swr,win,13,  110.17 
swr,win,14,  134.42 
swr,win,15,  104.31 
swr,win,16,  128.10 
swr,win,17,  112.15 
swr,win,18,  107.68 
swr,win,19,  116.02 
swr,win,20,  114.16 
swr,win,21,  114.41 
swr,win,22,  111.75 
swr,win,23,  109.12 
swr,win,24,  117.70 
swr,win,25,  111.92 
swr,win,26,  116.12 
swr,win,27,  119.11 
swr,win,28,  123.88 
swr,win,29,  102.60 
swr,win,30,  112.48 
