test,os,id, time
swr,lin,1,  28.9 
swr,lin,2,  28.9 
swr,lin,3,  28.6 
swr,lin,4,  28.5 
swr,lin,5,  28.2 
swr,lin,6,  27.9 
swr,lin,7,  27.6 
swr,lin,8,  27.4 
swr,lin,9,  27.3 
swr,lin,10,  27.1 
swr,lin,11,  26.9 
swr,lin,12,  26.5 
swr,lin,13,  26.4 
swr,lin,14,  26.2 
swr,lin,15,  26.0 
swr,lin,16,  25.8 
swr,lin,17,  25.6 
swr,lin,18,  25.4 
swr,lin,19,  25.1 
swr,lin,20,  24.8 
swr,lin,21,  24.6 
swr,lin,22,  24.4 
swr,lin,23,  25.9 
swr,lin,24,  29.9 
swr,lin,25,  30.0 
swr,lin,26,  30.0 
swr,lin,27,  30.3 
swr,lin,28,  30.3 
swr,lin,29,  30.4 
swr,lin,30,  30.4 
swr,win,1,  74.5 
swr,win,2,  91.4 
swr,win,3,  95.4 
swr,win,4,  95.0 
swr,win,5,  102.3 
swr,win,6,  98.0 
swr,win,7,  108.5 
swr,win,8,  106.4 
swr,win,9,  105.9 
swr,win,10,  107.3 
swr,win,11,  108.2 
swr,win,12,  108.4 
swr,win,13,  109.8 
swr,win,14,  105.3 
swr,win,15,  107.1 
swr,win,16,  107.5 
swr,win,17,  105.4 
swr,win,18,  108.5 
swr,win,19,  101.8 
swr,win,20,  107.0 
swr,win,21,  108.0 
swr,win,22,  105.6 
swr,win,23,  108.6 
swr,win,24,  104.9 
swr,win,25,  106.9 
swr,win,26,  106.9 
swr,win,27,  107.6 
swr,win,28,  107.6 
swr,win,29,  113.8 
swr,win,30,  106.2 
