test,os,id,time
swr,lin,1,  34.92 
swr,lin,2,  34.36 
swr,lin,3,  34.14 
swr,lin,4,  33.55 
swr,lin,5,  33.27 
swr,lin,6,  32.74 
swr,lin,7,  32.64 
swr,lin,8,  34.89 
swr,lin,9,  34.61 
swr,lin,10,  35.85 
swr,lin,11,  35.00 
swr,lin,12,  34.11 
swr,lin,13,  33.60 
swr,lin,14,  33.35 
swr,lin,15,  32.80 
swr,lin,16,  30.77 
swr,lin,17,  34.04 
swr,lin,18,  34.98 
swr,lin,19,  34.24 
swr,lin,20,  33.90 
swr,lin,21,  33.46 
swr,lin,22,  33.02 
swr,lin,23,  32.82 
swr,lin,24,  32.70 
swr,lin,25,  34.93 
swr,lin,26,  34.27 
swr,lin,27,  33.95 
swr,lin,28,  33.72 
swr,lin,29,  33.26 
swr,lin,30,  32.85 
swr,win,1,  107.07 
swr,win,2,  82.04 
swr,win,3,  76.59 
swr,win,4,  97.40 
swr,win,5,  78.13 
swr,win,6,  97.56 
swr,win,7,  74.21 
swr,win,8,  84.38 
swr,win,9,  97.80 
swr,win,10,  99.03 
swr,win,11,  85.26 
swr,win,12,  77.01 
swr,win,13,  91.60 
swr,win,14,  83.61 
swr,win,15,  101.49 
swr,win,16,  89.82 
swr,win,17,  82.42 
swr,win,18,  107.67 
swr,win,19,  85.52 
swr,win,20,  89.54 
swr,win,21,  106.16 
swr,win,22,  78.86 
swr,win,23,  95.14 
swr,win,24,  92.58 
swr,win,25,  75.84 
swr,win,26,  98.17 
swr,win,27,  97.64 
swr,win,28,  93.85 
swr,win,29,  87.61 
swr,win,30,  93.10 
