test,os,id,time
cpu,lin,1,1360.63
cpu,lin,2,1366.25
cpu,lin,3,1360.9
cpu,lin,4,1371.02
cpu,lin,5,1355.13
cpu,lin,6,1359.01
cpu,lin,7,1364.71
cpu,lin,8,1360.12
cpu,lin,9,1352.67
cpu,lin,10,1359.89
cpu,lin,11,1352.53
cpu,lin,12,1362.58
cpu,lin,13,1373.16
cpu,lin,14,1366.05
cpu,lin,15,1372.56
cpu,lin,16,1375.94
cpu,lin,17,1359.44
cpu,lin,18,1361.05
cpu,lin,19,1358.04
cpu,lin,20,1355.68
cpu,lin,21,1367.89
cpu,lin,22,1368.8
cpu,lin,23,1367.71
cpu,lin,24,1365.07
cpu,lin,25,1357.25
cpu,lin,26,1358.38
cpu,lin,27,1364.3
cpu,lin,28,1357.91
cpu,lin,29,1357.17
cpu,lin,30,1374.17
cpu,win,1,
cpu,win,2,
cpu,win,3,
cpu,win,4,
cpu,win,5,
cpu,win,6,
cpu,win,7,
cpu,win,8,
cpu,win,9,
cpu,win,10,
cpu,win,11,
cpu,win,12,
cpu,win,13,
cpu,win,14,
cpu,win,15,
cpu,win,16,
cpu,win,17,
cpu,win,18,
cpu,win,19,
cpu,win,20,
cpu,win,21,
cpu,win,22,
cpu,win,23,
cpu,win,24,
cpu,win,25,
cpu,win,26,
cpu,win,27,
cpu,win,28,
cpu,win,29,
cpu,win,30,
