test,os,id,time
cpu,lin,1,1342.25
cpu,lin,2,1352.24
cpu,lin,3,1357.14
cpu,lin,4,1358.24
cpu,lin,5,1355.33
cpu,lin,6,1357.33
cpu,lin,7,1355.42
cpu,lin,8,1347.99
cpu,lin,9,1348.33
cpu,lin,10,1354.26
cpu,lin,11,1355.43
cpu,lin,12,1355.81
cpu,lin,13,1353.4
cpu,lin,14,1359
cpu,lin,15,1361.66
cpu,lin,16,1364.73
cpu,lin,17,1342.47
cpu,lin,18,1351.28
cpu,lin,19,1345.73
cpu,lin,20,1355.81
cpu,lin,21,1362.25
cpu,lin,22,1353.68
cpu,lin,23,1359.16
cpu,lin,24,1356.85
cpu,lin,25,1360.7
cpu,lin,26,1357.37
cpu,lin,27,1357.6
cpu,lin,28,1350.67
cpu,lin,29,1358.35
cpu,lin,30,1365.79
cpu,win,1,1673.3
cpu,win,2,1664.99
cpu,win,3,1667
cpu,win,4,1652.28
cpu,win,5,1652.74
cpu,win,6,1655.69
cpu,win,7,1647.28
cpu,win,8,1630.77
cpu,win,9,1635.09
cpu,win,10,1625.74
cpu,win,11,1627.58
cpu,win,12,1627.1
cpu,win,13,1624.97
cpu,win,14,1623.12
cpu,win,15,1625.59
cpu,win,16,1620.22
cpu,win,17,1629.56
cpu,win,18,1627.55
cpu,win,19,1620.9
cpu,win,20,1628.31
cpu,win,21,1630.68
cpu,win,22,1621.63
cpu,win,23,1629.91
cpu,win,24,1639.07
cpu,win,25,1621.77
cpu,win,26,1628.99
cpu,win,27,1633.96
cpu,win,28,1631.26
cpu,win,29,1628.73
cpu,win,30,1625.06
