test,os,id,time
mem,lin,1,11.002
mem,lin,2, 10.923
mem,lin,3,10.962
mem,lin,4,10.926
mem,lin,5,10.902
mem,lin,6,10.902
mem,lin,7,10.954
mem,lin,8,10.979
mem,lin,9,10.979
mem,lin,10,10.912
mem,lin,11,10.891
mem,lin,12,10.986
mem,lin,13,10.995
mem,lin,14,10.962
mem,lin,15,10.934
mem,lin,16,10.971
mem,lin,17,10.918
mem,lin,18,11.008
mem,lin,19,10.975
mem,lin,20,10.944
mem,lin,21,10.914
mem,lin,22,10.98
mem,lin,23,10.942
mem,lin,24,10.867
mem,lin,25,10.965
mem,lin,26,10.967
mem,lin,27,10.93
mem,lin,28,10.919
mem,lin,29,10.916
mem,lin,30,10.886
mem,win,1,22.893
mem,win,2,20.26
mem,win,3,20.244
mem,win,4,23.361
mem,win,5,20.305
mem,win,6,21.258
mem,win,7,22.801
mem,win,8,20.322
mem,win,9,20.276
mem,win,10,22.848
mem,win,11,20.37
mem,win,12,20.219
mem,win,13,22.301
mem,win,14,20.229
mem,win,15,20.526
mem,win,16,26.154
mem,win,17,21.489
mem,win,18,22.868
mem,win,19,22.413
mem,win,20,22.355
mem,win,21,22.465
mem,win,22,22.754
mem,win,23,20.276
mem,win,24,20.416
mem,win,25,22.707
mem,win,26,20.353
mem,win,27,20.419
mem,win,28,22.718
mem,win,29,20.463
mem,win,30,20.369
