test,os,id,time
srd,lin,1,4677.154296875
srd,lin,2,3091.1005859375
srd,lin,3,3849.7685546875
srd,lin,4,3416.6181640625
srd,lin,5,3606.49609375
srd,lin,6,3747.7373046875
srd,lin,7,4436.298828125
srd,lin,8,4287.541015625
srd,lin,9,4135.59375
srd,lin,10,4652.1025390625
srd,lin,11,4587.833984375
srd,lin,12,3673.87109375
srd,lin,13,3927.1337890625
srd,lin,14,4015.173828125
srd,lin,15,4121.404296875
srd,lin,16,4513.1103515625
srd,lin,17,4097.1875
srd,lin,18,3975.888671875
srd,lin,19,4035.53125
srd,lin,20,4017.111328125
srd,lin,21,4181.9130859375
srd,lin,22,4246.9619140625
srd,lin,23,3563.3623046875
srd,lin,24,4547.826171875
srd,lin,25,4065.4267578125
srd,lin,26,3853.3828125
srd,lin,27,4390.421875
srd,lin,28,4175.294921875
srd,lin,29,4274.4501953125
srd,lin,30,4256.7333984375
srd,win,1,
srd,win,2,
srd,win,3,
srd,win,4,
srd,win,5,
srd,win,6,
srd,win,7,
srd,win,8,
srd,win,9,
srd,win,10,
srd,win,11,
srd,win,12,
srd,win,13,
srd,win,14,
srd,win,15,
srd,win,16,
srd,win,17,
srd,win,18,
srd,win,19,
srd,win,20,
srd,win,21,
srd,win,22,
srd,win,23,
srd,win,24,
srd,win,25,
srd,win,26,
srd,win,27,
srd,win,28,
srd,win,29,
srd,win,30,
