test,os,id,time
srd,lin,1,3034.99609375
srd,lin,2,3531.484375
srd,lin,3,3152.0537109375
srd,lin,4,3214.9990234375
srd,lin,5,3595.8896484375
srd,lin,6,3093.5712890625
srd,lin,7,3178.6328125
srd,lin,8,2589.2880859375
srd,lin,9,3109.2626953125
srd,lin,10,3019.28515625
srd,lin,11,3059.1181640625
srd,lin,12,3024.4443359375
srd,lin,13,3554.8466796875
srd,lin,14,3699.7353515625
srd,lin,15,3711.341796875
srd,lin,16,3569.1689453125
srd,lin,17,3879.3896484375
srd,lin,18,3869.853515625
srd,lin,19,3461.7626953125
srd,lin,20,3413.0830078125
srd,lin,21,3572.5986328125
srd,lin,22,3283.544921875
srd,lin,23,3292.7421875
srd,lin,24,3433.7236328125
srd,lin,25,3229.8447265625
srd,lin,26,3732.8115234375
srd,lin,27,3339.8291015625
srd,lin,28,3399.9091796875
srd,lin,29,3568.1376953125
srd,lin,30,3466.419921875
srd,win,1,
srd,win,2,
srd,win,3,
srd,win,4,
srd,win,5,
srd,win,6,
srd,win,7,
srd,win,8,
srd,win,9,
srd,win,10,
srd,win,11,
srd,win,12,
srd,win,13,
srd,win,14,
srd,win,15,
srd,win,16,
srd,win,17,
srd,win,18,
srd,win,19,
srd,win,20,
srd,win,21,
srd,win,22,
srd,win,23,
srd,win,24,
srd,win,25,
srd,win,26,
srd,win,27,
srd,win,28,
srd,win,29,
srd,win,30,
