test,os,id,time
swr,lin,1,54.9794921875
swr,lin,2,53.4423828125
swr,lin,3,53.7685546875
swr,lin,4,54.755859375
swr,lin,5,55.4345703125
swr,lin,6,55.2109375
swr,lin,7,54.6240234375
swr,lin,8,55.74609375
swr,lin,9,56.240234375
swr,lin,10,54.8544921875
swr,lin,11,54.8330078125
swr,lin,12,55.18359375
swr,lin,13,55.8427734375
swr,lin,14,55.2119140625
swr,lin,15,55.0546875
swr,lin,16,55.337890625
swr,lin,17,55.0810546875
swr,lin,18,56.5546875
swr,lin,19,53.142578125
swr,lin,20,55.7509765625
swr,lin,21,55.76953125
swr,lin,22,55.591796875
swr,lin,23,56.3310546875
swr,lin,24,54.20703125
swr,lin,25,53.8828125
swr,lin,26,54.359375
swr,lin,27,54.0390625
swr,lin,28,52.9248046875
swr,lin,29,53.64453125
swr,lin,30,54.7470703125
swr,win,1,
swr,win,2,
swr,win,3,
swr,win,4,
swr,win,5,
swr,win,6,
swr,win,7,
swr,win,8,
swr,win,9,
swr,win,10,
swr,win,11,
swr,win,12,
swr,win,13,
swr,win,14,
swr,win,15,
swr,win,16,
swr,win,17,
swr,win,18,
swr,win,19,
swr,win,20,
swr,win,21,
swr,win,22,
swr,win,23,
swr,win,24,
swr,win,25,
swr,win,26,
swr,win,27,
swr,win,28,
swr,win,29,
swr,win,30,
