test,os,id,time
swr,lin,1,53.6669921875
swr,lin,2,53.2607421875
swr,lin,3,53.3759765625
swr,lin,4,54.1875
swr,lin,5,52.623046875
swr,lin,6,51.501953125
swr,lin,7,49.734375
swr,lin,8,48.35546875
swr,lin,9,48.4013671875
swr,lin,10,47.708984375
swr,lin,11,49.0107421875
swr,lin,12,48.572265625
swr,lin,13,49.76953125
swr,lin,14,49.283203125
swr,lin,15,51.873046875
swr,lin,16,52.3193359375
swr,lin,17,50.6005859375
swr,lin,18,53.3173828125
swr,lin,19,53.46875
swr,lin,20,53.0380859375
swr,lin,21,52.57421875
swr,lin,22,53.1748046875
swr,lin,23,53.455078125
swr,lin,24,54.0771484375
swr,lin,25,53.474609375
swr,lin,26,53.58984375
swr,lin,27,53.23828125
swr,lin,28,54.0654296875
swr,lin,29,53.001953125
swr,lin,30,53.9345703125
swr,win,1,
swr,win,2,
swr,win,3,
swr,win,4,
swr,win,5,
swr,win,6,
swr,win,7,
swr,win,8,
swr,win,9,
swr,win,10,
swr,win,11,
swr,win,12,
swr,win,13,
swr,win,14,
swr,win,15,
swr,win,16,
swr,win,17,
swr,win,18,
swr,win,19,
swr,win,20,
swr,win,21,
swr,win,22,
swr,win,23,
swr,win,24,
swr,win,25,
swr,win,26,
swr,win,27,
swr,win,28,
swr,win,29,
swr,win,30,
