test,os,id,time
cpu,lin,1,1360.63
cpu,lin,2,1366.25
cpu,lin,3,1360.9
cpu,lin,4,1371.02
cpu,lin,5,1355.13
cpu,lin,6,1359.01
cpu,lin,7,1364.71
cpu,lin,8,1360.12
cpu,lin,9,1352.67
cpu,lin,10,1359.89
cpu,lin,11,1352.53
cpu,lin,12,1362.58
cpu,lin,13,1373.16
cpu,lin,14,1366.05
cpu,lin,15,1372.56
cpu,lin,16,1375.94
cpu,lin,17,1359.44
cpu,lin,18,1361.05
cpu,lin,19,1358.04
cpu,lin,20,1355.68
cpu,lin,21,1367.89
cpu,lin,22,1368.8
cpu,lin,23,1367.71
cpu,lin,24,1365.07
cpu,lin,25,1357.25
cpu,lin,26,1358.38
cpu,lin,27,1364.3
cpu,lin,28,1357.91
cpu,lin,29,1357.17
cpu,lin,30,1374.17
cpu,win,1,2413.51
cpu,win,2,2408.74
cpu,win,3,2446.6
cpu,win,4,2338.34
cpu,win,5,2344.89
cpu,win,6,2364.16
cpu,win,7,2347.44
cpu,win,8,2322.62
cpu,win,9,2341.34
cpu,win,10,2328.68
cpu,win,11,2417.79
cpu,win,12,2434.17
cpu,win,13,2317.22
cpu,win,14,2336.37
cpu,win,15,2340.10
cpu,win,16,2402.18
cpu,win,17,2466.76
cpu,win,18,2450.72
cpu,win,19,2367.8
cpu,win,20,2566.76
cpu,win,21,2366.41
cpu,win,22,2391.81
cpu,win,23,2391.26
cpu,win,24,2361.57
cpu,win,25,2335.07
cpu,win,26,2387.97
cpu,win,27,2391.73
cpu,win,28,2349.51
cpu,win,29,2384.16
cpu,win,30,2343.81
