test,os,id,time
cpu,lin,1,1388.57
cpu,lin,2,1388.78
cpu,lin,3,1389.81
cpu,lin,4,1376.79
cpu,lin,5,1392.49
cpu,lin,6,1388.12
cpu,lin,7,1405.41
cpu,lin,8,1400.66
cpu,lin,9,1387.61
cpu,lin,10,1388.33
cpu,lin,11,1397.61
cpu,lin,12,1389.84
cpu,lin,13,1394.52
cpu,lin,14,1396.14
cpu,lin,15,1387.48
cpu,lin,16,1393.9
cpu,lin,17,1391.83
cpu,lin,18,1390.94
cpu,lin,19,1396.49
cpu,lin,20,1381.39
cpu,lin,21,1395.28
cpu,lin,22,1390.39
cpu,lin,23,1387.92
cpu,lin,24,1383.39
cpu,lin,25,1389.14
cpu,lin,26,1396.37
cpu,lin,27,1395.99
cpu,lin,28,1389.23
cpu,lin,29,1391.73
cpu,lin,30,1391.65
cpu,win,1,2379.41
cpu,win,2,2350.07
cpu,win,3,2386.94
cpu,win,4,2358.49
cpu,win,5,2361.75
cpu,win,6,2380.97
cpu,win,7,2366.09
cpu,win,8,2347.27
cpu,win,9,2357.31
cpu,win,10,2360.74
cpu,win,11,2367.2
cpu,win,12,2373.62
cpu,win,13,2349.1
cpu,win,14,2346.24
cpu,win,15,2343.74
cpu,win,16,2361.25
cpu,win,17,2336.56
cpu,win,18,2359.98
cpu,win,19,2361.52
cpu,win,20,2361.2
cpu,win,21,2351.54
cpu,win,22,2345.9
cpu,win,23,2374
cpu,win,24,2362.64
cpu,win,25,2381.38
cpu,win,26,2366.13
cpu,win,27,2380.34
cpu,win,28,2387.65
cpu,win,29,2359.28
cpu,win,30,2377.85
