test,os,id,time
mem,lin,1,13.599
mem,lin,2,13.261
mem,lin,3,13.422
mem,lin,4,13.52
mem,lin,5,13.398
mem,lin,6,13.364
mem,lin,7,13.357
mem,lin,8,13.263
mem,lin,9,13.565
mem,lin,10,13.389
mem,lin,11,13.421
mem,lin,12,13.427
mem,lin,13,13.349
mem,lin,14,13.207
mem,lin,15,13.346
mem,lin,16,13.449
mem,lin,17,13.329
mem,lin,18,13.396
mem,lin,19,13.09
mem,lin,20,12.904
mem,lin,21,13.211
mem,lin,22,13.305
mem,lin,23,13.2
mem,lin,24,13.079
mem,lin,25,13.098
mem,lin,26,13.297
mem,lin,27,13.249
mem,lin,28,13.035
mem,lin,29,12.947
mem,lin,30,13.232
mem,win,1,33.126
mem,win,2,28.822
mem,win,3,29.209
mem,win,4,32.942
mem,win,5,28.834
mem,win,6,28.901
mem,win,7,32.685
mem,win,8,29.167
mem,win,9,29.971
mem,win,10,32.034
mem,win,11,28.955
mem,win,12,30.043
mem,win,13,32.399
mem,win,14,28.898
mem,win,15,29.108
mem,win,16,32.221
mem,win,17,29.451
mem,win,18,29.181
mem,win,19,32.16
mem,win,20,28.808
mem,win,21,29.192
mem,win,22,32.692
mem,win,23,28.668
mem,win,24,29.195
mem,win,25,32.56
mem,win,26,28.884
mem,win,27,29.06
mem,win,28,32.811
mem,win,29,28.946
mem,win,30,28.714
