test,os,id,time
srd,lin,1,4677.154296875
srd,lin,2,3091.1005859375
srd,lin,3,3849.7685546875
srd,lin,4,3416.6181640625
srd,lin,5,3606.49609375
srd,lin,6,3747.7373046875
srd,lin,7,4436.298828125
srd,lin,8,4287.541015625
srd,lin,9,4135.59375
srd,lin,10,4652.1025390625
srd,lin,11,4587.833984375
srd,lin,12,3673.87109375
srd,lin,13,3927.1337890625
srd,lin,14,4015.173828125
srd,lin,15,4121.404296875
srd,lin,16,4513.1103515625
srd,lin,17,4097.1875
srd,lin,18,3975.888671875
srd,lin,19,4035.53125
srd,lin,20,4017.111328125
srd,lin,21,4181.9130859375
srd,lin,22,4246.9619140625
srd,lin,23,3563.3623046875
srd,lin,24,4547.826171875
srd,lin,25,4065.4267578125
srd,lin,26,3853.3828125
srd,lin,27,4390.421875
srd,lin,28,4175.294921875
srd,lin,29,4274.4501953125
srd,lin,30,4256.7333984375
srd,win,1,1268.7275390625
srd,win,2,1181.580078125
srd,win,3,1199.7724609375
srd,win,4,1727.3828125
srd,win,5,1271.2275390625
srd,win,6,1252.376953125
srd,win,7,1179.724609375
srd,win,8,1236.431640625
srd,win,9,1040.833984375
srd,win,10,1222.515625
srd,win,11,1225.787109375
srd,win,12,1256.2998046875
srd,win,13,1222.94921875
srd,win,14,1213.8623046875
srd,win,15,1229.8291015625
srd,win,16,1215.8134765625
srd,win,17,1234.8828125
srd,win,18,1249.96875
srd,win,19,1243.8037109375
srd,win,20,1225.6083984375
srd,win,21,1229.9658203125
srd,win,22,946.7998046875
srd,win,23,1185.384765625
srd,win,24,1223.4208984375
srd,win,25,1211.0126953125
srd,win,26,1238.3583984375
srd,win,27,1222.9638671875
srd,win,28,1221.2451171875
srd,win,29,1208.9765625
srd,win,30,1241.2783203125
