test,os,id,time
srd,lin,1,5450.3310546875
srd,lin,2,5156.44140625
srd,lin,3,5470.0869140625
srd,lin,4,5191.2900390625
srd,lin,5,5442.1064453125
srd,lin,6,5476.109375
srd,lin,7,5399.716796875
srd,lin,8,5373.1552734375
srd,lin,9,5496.4814453125
srd,lin,10,5081.8330078125
srd,lin,11,5369.7734375
srd,lin,12,5387.9716796875
srd,lin,13,5516.0537109375
srd,lin,14,5399.7880859375
srd,lin,15,5410.0859375
srd,lin,16,5507.40625
srd,lin,17,4722.08203125
srd,lin,18,4873.857421875
srd,lin,19,6177.623046875
srd,lin,20,4753.8466796875
srd,lin,21,5485.1591796875
srd,lin,22,5509.9248046875
srd,lin,23,5325.318359375
srd,lin,24,5235.0546875
srd,lin,25,5951.6015625
srd,lin,26,5338.05859375
srd,lin,27,5905.46875
srd,lin,28,5445.984375
srd,lin,29,5520.98828125
srd,lin,30,5500.08203125
srd,win,1,2887.3115234375
srd,win,2,2755.1865234375
srd,win,3,2920.4091796875
srd,win,4,2891.390625
srd,win,5,2900.34375
srd,win,6,2861.4833984375
srd,win,7,2871.177734375
srd,win,8,2884.9443359375
srd,win,9,2847.9384765625
srd,win,10,2934.83984375
srd,win,11,2754.90234375
srd,win,12,2872.5478515625
srd,win,13,2840.9365234375
srd,win,14,2869.2939453125
srd,win,15,2878.4716796875
srd,win,16,2849.56640625
srd,win,17,2902.9140625
srd,win,18,2859.5107421875
srd,win,19,2904.59765625
srd,win,20,2837.1962890625
srd,win,21, 2826.6171875
srd,win,22,2895.5908203125
srd,win,23,2850.02734375
srd,win,24,2868.0654296875
srd,win,25,2871.7548828125
srd,win,26,2844.412109375
srd,win,27,2845.8916015625
srd,win,28,2868.0439453125
srd,win,29,2842.994140625
srd,win,30,2863.85546875
