test,os,id,time
srd,lin,1,3034.99609375
srd,lin,2,3531.484375
srd,lin,3,3152.0537109375
srd,lin,4,3214.9990234375
srd,lin,5,3595.8896484375
srd,lin,6,3093.5712890625
srd,lin,7,3178.6328125
srd,lin,8,2589.2880859375
srd,lin,9,3109.2626953125
srd,lin,10,3019.28515625
srd,lin,11,3059.1181640625
srd,lin,12,3024.4443359375
srd,lin,13,3554.8466796875
srd,lin,14,3699.7353515625
srd,lin,15,3711.341796875
srd,lin,16,3569.1689453125
srd,lin,17,3879.3896484375
srd,lin,18,3869.853515625
srd,lin,19,3461.7626953125
srd,lin,20,3413.0830078125
srd,lin,21,3572.5986328125
srd,lin,22,3283.544921875
srd,lin,23,3292.7421875
srd,lin,24,3433.7236328125
srd,lin,25,3229.8447265625
srd,lin,26,3732.8115234375
srd,lin,27,3339.8291015625
srd,lin,28,3399.9091796875
srd,lin,29,3568.1376953125
srd,lin,30,3466.419921875
srd,win,1,1022.4482421875
srd,win,2,323.755859375
srd,win,3,323.23828125
srd,win,4,1025.994140625
srd,win,5,323.6455078125
srd,win,6,333.240234375
srd,win,7,1210.630859375
srd,win,8,1747.9345703125
srd,win,9,1825.3740234375
srd,win,10,1061.65625
srd,win,11,423.873046875
srd,win,12,1821.7333984375
srd,win,13,966.3046875
srd,win,14,1314.45703125
srd,win,15,348.9873046875
srd,win,16,1957.025390625
srd,win,17,1892.1513671875
srd,win,18,1991.3388671875
srd,win,19,1888.8095703125
srd,win,20,1854.04296875
srd,win,21,1938.5087890625
srd,win,22,1952.75390625
srd,win,23,1928.7265625
srd,win,24,1914.3564453125
srd,win,25, 1913.0556640625
srd,win,26,1903.1064453125
srd,win,27,1933.994140625
srd,win,28,1944.826171875
srd,win,29,1974.5751953125
srd,win,30,1950.3466796875
