test,os,id,time
swr,lin,1,54.9794921875
swr,lin,2,53.4423828125
swr,lin,3,53.7685546875
swr,lin,4,54.755859375
swr,lin,5,55.4345703125
swr,lin,6,55.2109375
swr,lin,7,54.6240234375
swr,lin,8,55.74609375
swr,lin,9,56.240234375
swr,lin,10,54.8544921875
swr,lin,11,54.8330078125
swr,lin,12,55.18359375
swr,lin,13,55.8427734375
swr,lin,14,55.2119140625
swr,lin,15,55.0546875
swr,lin,16,55.337890625
swr,lin,17,55.0810546875
swr,lin,18,56.5546875
swr,lin,19,53.142578125
swr,lin,20,55.7509765625
swr,lin,21,55.76953125
swr,lin,22,55.591796875
swr,lin,23,56.3310546875
swr,lin,24,54.20703125
swr,lin,25,53.8828125
swr,lin,26,54.359375
swr,lin,27,54.0390625
swr,lin,28,52.9248046875
swr,lin,29,53.64453125
swr,lin,30,54.7470703125
swr,win,1,228.7158203125
swr,win,2,217.0078125
swr,win,3,228.0830078125
swr,win,4,236.7958984375
swr,win,5,238.6865234375
swr,win,6,234.5234375
swr,win,7,231.423828125
swr,win,8,230.6796875
swr,win,9,235.5
swr,win,10,226.2851562
swr,win,11,218.486328125
swr,win,12,219.2626953125
swr,win,13,218.60546875
swr,win,14,218.6572265625
swr,win,15,217.41015625
swr,win,16,205.2509765625
swr,win,17,192.0263671875
swr,win,18,206.916015625
swr,win,19,211.4189453125
swr,win,20,201.1640625
swr,win,21,207.3447265625
swr,win,22,191.267578125
swr,win,23,187.1748046875
swr,win,24,181.62890625
swr,win,25,200.1669921875
swr,win,26,204.2119140625
swr,win,27,178.2705078125
swr,win,28,203.6279296875
swr,win,29,187.82421875
swr,win,30,195.12109375
