test,os,id,time
swr,lin,1,53.6669921875
swr,lin,2,53.2607421875
swr,lin,3,53.3759765625
swr,lin,4,54.1875
swr,lin,5,52.623046875
swr,lin,6,51.501953125
swr,lin,7,49.734375
swr,lin,8,48.35546875
swr,lin,9,48.4013671875
swr,lin,10,47.708984375
swr,lin,11,49.0107421875
swr,lin,12,48.572265625
swr,lin,13,49.76953125
swr,lin,14,49.283203125
swr,lin,15,51.873046875
swr,lin,16,52.3193359375
swr,lin,17,50.6005859375
swr,lin,18,53.3173828125
swr,lin,19,53.46875
swr,lin,20,53.0380859375
swr,lin,21,52.57421875
swr,lin,22,53.1748046875
swr,lin,23,53.455078125
swr,lin,24,54.0771484375
swr,lin,25,53.474609375
swr,lin,26,53.58984375
swr,lin,27,53.23828125
swr,lin,28,54.0654296875
swr,lin,29,53.001953125
swr,lin,30,53.9345703125
swr,win,1,232.7978515625
swr,win,2,227.5009765625
swr,win,3,232.5771484375
swr,win,4,217.4736328125
swr,win,5,221.8447265625
swr,win,6,228.3291015625
swr,win,7,216.9775390625
swr,win,8,228.1884765625
swr,win,9,219.06640625
swr,win,10,228.7353515625
swr,win,11,230.4423828125
swr,win,12,235.7958984375
swr,win,13,213.0126953125
swr,win,14,230.2353515625
swr,win,15,230.0771484375
swr,win,16,220.9189453125
swr,win,17,222.701171875
swr,win,18,216.7216796875
swr,win,19,221.2548828125
swr,win,20,234.68359375
swr,win,21,232.822265625
swr,win,22,234.2255859375
swr,win,23,218.318359375
swr,win,24,224.1630859375
swr,win,25,236.287109375
swr,win,26,220.0830078125
swr,win,27,219.8994140625
swr,win,28,235.72265625
swr,win,29,236.1533203125
swr,win,30,220.1474609375
